player,18sp_KDA,18sp_KPAR,18sp_WR,18su_KDA,18su_KPAR,18su_WR,19sp_KDA,19sp_KPAR,19sp_WR,19su_KDA,19su_KPAR,19su_WR,20sp_KDA,20sp_KPAR,20sp_WR,20su_KDA,20su_KPAR,20su_WR,2019_Preseason,2019_Midseason,2020_Preseason,2020_Midseason,2021_Preseason
Dove, , , , , , ,4.344166666666666,68.03617021276595,61.702127659574465,4.085389930898322,68.56041666666667,56.25,3.1409462123345535,61.054054054054056,40.54054054054054,1.738374619730552,65.6,11.11111111111111,0,0,0,0,1
Edge,2.5569502556950257,75.19024390243902,21.951219512195124, , , , , , , , , , , , , , , , ,0, ,1, 
Effort,5.3428571428571425,81.76190476190476,52.38095238095238,2.6870836019772186,69.00263157894737,52.63157894736842, , , ,5.467244540756793,64.655,77.5,3.972020915512338,69.01176470588236,70.58823529411764,3.98851430394555,64.66511627906976,65.11627906976744,0,0,0,0,0
Ellim, , , , , , , , , , , , ,6.336224149432955,80.53333333333335,66.66666666666666,7.107107107107107,59.77142857142858,57.14285714285714, , ,1,0,0
Faker,3.999100089991001,76.62452830188678,49.056603773584904,3.1443111595783355,76.044,40.0,4.107344632768362,58.376000000000005,74.0,3.8852644480060334,61.760000000000005,67.27272727272727,5.953063885267275,66.91960784313727,70.58823529411764,4.378452034883721,64.79333333333334,56.666666666666664,0,0,0,0,0
Flame, , , , , , ,3.727272727272727,62.974999999999994,50.0,0.4444444444444444,62.5,0.0, , , , , , , ,0,0, , 
Flawless, , , , , , , , , , , , ,2.500230840258541,69.84418604651164,39.53488372093023,1.6050639754910796,65.609375,18.75, , ,1,0,1
Gango, , , , , , ,2.4,65.64375,25.0, , , , , , , , , ,1,0, , , 
Gori, , , , , , , , , ,1.0,75.0,0.0, , , , , , ,1, ,0, , 
GorillA,5.067008916509052,69.51818181818182,81.81818181818181,3.0614306328592042,62.43191489361703,61.702127659574465, , , , , , ,2.9418304323413818,69.97894736842105,39.473684210526315,2.3332478632478635,63.6125,42.5,1, ,1,0,1
GuGer, , , , , , , , , , , , , , , ,2.3274533056626154,64.64545454545454,36.36363636363637, ,0, ,0,1
Haru,2.0,71.90588235294118,47.05882352941176,3.325581395348837,69.23888888888888,66.66666666666666, , , ,4.166666666666667,84.075,25.0,2.6256564141035255,74.2311111111111,37.77777777777778,1.5490196078431373,60.493750000000006,18.75,1,0,1,0,1
Hoit, , , , , , ,3.8811585547924747,71.33999999999999,53.333333333333336,0.0,0.0,0.0,2.714642857142857,64.46923076923078,38.46153846153847, , , ,0,0,0,0, 
Hoya, , , , , , , , , , , , ,1.5238095238095237,43.65,12.5, , , , , , ,0, 
Ian,3.038352464550979,73.045,32.5,2.78813663830312,71.76341463414636,26.82926829268293, , , , , , , , , , , , , , , ,0, 
Ikssu, , , , , , , , , , , , ,2.1294151499892093,63.13720930232558,39.53488372093023,1.1444919786096257,59.82439024390244,14.634146341463413, , ,0, ,1
Justice,4.156274056966898,77.725,37.5,0.0,0.0,0.0, , , , , , , , , , , , ,1,0, , , 
KaKAO, , , ,0.5555555555555556,45.825,0.0, , , , , , , , , , , , ,0,0,1,1, 
Kabbie, , , , , , , , , , , , ,2.3075640575640577,64.59555555555556,35.55555555555556,0.7777777777777778,63.6,0.0,1,0,1,1,0
Keine, , , , , , , , , , , , ,2.243717979995121,55.605555555555554,22.22222222222222,2.3998400639744104,62.55,12.5, , ,1,0,1
Kellin, , , , , , ,1.4335622573902655,58.91818181818181,4.545454545454546,1.5206,64.28709677419354,6.451612903225806,4.576012624934246,68.02857142857142,64.28571428571429,4.133333333333334,61.285714285714285,57.14285714285714,1,0,1,0,1
Keria, , , , , , , , , , , , ,4.452735020436559,70.48727272727272,63.63636363636365,4.27900504435554,68.44716981132075,66.0377358490566, , ,1,0,1
